Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA
63,Creighton NCAA,37,24,13,0.649,17.83,9.8,14.0,6.0,13,2,5,6,2828,2531,69.3,109.6,0.284,0.417,0.576,52.7,57.3,7.2,9.2,0.542,14.9,25.3,0.222,98.1,0.197,0.295,0.496,47.3,44.7,8.4,8.2,0.471,12.3,23.5,0.143
72,Drake NCAA,35,27,8,0.771,7.84,-1.14,15.0,5.0,14,1,6,6,2617,2236,67.0,109.2,0.279,0.37,0.569,52.2,50.2,7.8,7.4,0.537,13.8,24.3,0.214,93.3,0.27,0.38,0.495,47.8,43.6,7.7,6.2,0.464,15.7,22.2,0.19
74,Duke NCAA,36,27,9,0.75,15.83,7.44,14.0,6.0,16,0,4,6,2592,2290,65.5,109.5,0.299,0.353,0.548,55.7,56.2,8.6,12.2,0.511,15.4,35.9,0.229,96.8,0.237,0.356,0.495,44.3,48.5,9.3,9.8,0.46,14.5,26.0,0.181
86,FDU NCAA,37,21,16,0.568,-8.98,-9.83,10.0,6.0,10,5,8,9,2863,2744,69.8,109.7,0.271,0.379,0.549,50.3,52.2,11.3,6.0,0.517,14.0,31.9,0.204,105.2,0.335,0.398,0.574,49.7,56.8,8.2,10.0,0.541,19.2,29.0,0.249
89,Florida Atlantic NCAA,39,35,4,0.897,13.92,2.3,18.0,2.0,17,0,11,3,3035,2547,68.5,112.8,0.294,0.44,0.572,54.2,51.8,9.4,6.7,0.547,14.8,31.6,0.212,94.7,0.263,0.349,0.494,45.8,34.8,8.4,6.8,0.459,15.7,25.0,0.193
95,Furman NCAA,36,28,8,0.778,4.89,-2.9,15.0,3.0,14,2,8,3,2911,2563,69.4,115.4,0.341,0.464,0.588,51.2,59.1,9.4,8.4,0.557,13.8,28.8,0.253,101.6,0.301,0.35,0.535,48.8,44.5,8.1,8.9,0.505,16.4,27.1,0.213
104,Gonzaga NCAA,37,31,6,0.838,18.99,8.04,14.0,2.0,15,1,7,2,3187,2715,71.9,119.5,0.337,0.323,0.602,54.0,50.7,10.0,9.3,0.582,13.0,31.4,0.233,101.8,0.257,0.39,0.539,46.0,46.1,7.2,5.8,0.51,16.3,25.2,0.188
106,Grand Canyon NCAA,36,24,12,0.667,4.43,1.27,10.0,7.0,14,4,5,5,2706,2421,66.9,111.5,0.358,0.418,0.573,52.1,48.4,7.3,8.1,0.542,15.4,30.8,0.256,99.8,0.32,0.329,0.498,47.9,43.3,8.3,8.2,0.461,13.7,29.3,0.225
115,Houston NCAA,37,33,4,0.892,22.2,4.79,17.0,1.0,16,2,11,0,2770,2126,64.8,115.5,0.289,0.379,0.553,55.1,53.9,12.2,16.7,0.523,12.9,37.1,0.212,88.6,0.357,0.435,0.47,44.9,53.1,8.3,6.7,0.427,18.3,27.7,0.246
117,Howard NCAA,35,22,13,0.629,-5.04,-5.14,11.0,3.0,12,2,6,8,2634,2542,71.8,104.4,0.333,0.37,0.558,51.7,56.0,10.0,8.5,0.527,19.5,34.1,0.237,100.8,0.348,0.367,0.538,48.3,47.5,12.2,8.6,0.507,18.6,31.2,0.239
