Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
55,Colorado NCAA,32,23,9,0.719,18.88,9.57,14,6,11,1,6,6,2340,2042,66.5,109.9,0.295,0.364,0.565,53.2,52.7,7.8,7.8,0.524,15,30.6,0.241,95.9,0.291,0.351,0.514,46.8,48.8,7.1,8.1,0.479,17.5,25.2,0.212,32
57,Connecticut NCAA,23,15,8,0.652,15.77,8.59,11,6,7,3,6,3,1650,1485,66.2,107.8,0.29,0.334,0.522,53.6,49.3,9.3,14.6,0.49,14.5,37,0.21,97,0.368,0.333,0.509,46.4,47.1,8.2,6.8,0.467,17,29.1,0.26,64
59,Creighton NCAA,31,22,9,0.71,16.28,8.54,14,6,11,3,7,4,2355,2115,69.6,108.3,0.257,0.436,0.564,49.4,55.2,9.9,9,0.55,14,24.3,0.164,97.3,0.255,0.392,0.499,50.6,52.7,7.9,8.3,0.47,15.5,28,0.179,16
67,Drake NCAA,31,26,5,0.839,9.42,-0.48,15,3,14,1,9,2,2354,1999,66.8,112.8,0.239,0.316,0.563,53.7,46.6,10.4,8.4,0.542,13.3,31.1,0.17,95.8,0.288,0.36,0.512,46.3,46.3,8.1,7.6,0.478,16.7,24.9,0.207,64
68,Drexel NCAA,20,12,8,0.6,-0.97,-3.92,4,5,3,2,4,5,1407,1348,66,106.5,0.273,0.355,0.566,53.2,58,6.9,6.4,0.533,17.1,28.4,0.213,102.1,0.264,0.33,0.533,46.8,42.5,9.3,8.9,0.501,14.2,23.9,0.197,64
76,Eastern Washington NCAA,24,16,8,0.667,4.03,-3.15,12,3,7,2,6,5,1879,1690,71.8,109,0.302,0.403,0.576,50.7,54.7,6.7,7.4,0.54,14.5,23,0.239,98,0.271,0.358,0.506,49.3,45.1,8,6.2,0.473,14.3,25.5,0.196,64
81,Florida NCAA,25,15,10,0.6,13.7,9.82,9,7,6,3,5,5,1854,1757,70.6,104.6,0.339,0.338,0.567,51.5,44.2,10.2,14.1,0.531,18.7,30.6,0.255,99.1,0.351,0.362,0.516,48.5,51.3,10.7,8.9,0.478,17.3,30.2,0.249,32
86,Florida State NCAA,25,18,7,0.72,17.12,9.16,11,4,12,1,3,4,1929,1730,70,109.1,0.324,0.349,0.572,52.6,52.4,10.3,14.3,0.54,17.6,33.7,0.24,97.8,0.352,0.395,0.506,47.4,51.4,9.8,7.3,0.461,16.8,31,0.258,16
93,Georgetown NCAA,26,13,13,0.5,10.13,10.36,7,9,7,6,2,6,1857,1863,70.4,101,0.308,0.389,0.532,53.3,51.7,8.3,10.4,0.494,18.5,31.9,0.232,101.3,0.259,0.398,0.516,46.7,57.4,10.7,7.9,0.489,14.2,26.8,0.179,64
97,Georgia Tech NCAA,26,17,9,0.654,12.79,7.91,11,6,11,3,4,5,1948,1821,67.9,107.8,0.284,0.364,0.567,46.9,57.1,13.1,9.6,0.54,14.4,24.3,0.206,100.8,0.289,0.353,0.55,53.1,55.1,7.8,7.6,0.524,19.8,30.1,0.203,64
