Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
84,FDU NCAA,35,21,14,0.6,-6.09,-7.24,12,6,13,4,7,9,2620,2515,68.7,107.5,0.362,0.347,0.576,49.3,52.8,10.7,10.5,0.544,17.3,28.8,0.263,103.2,0.298,0.387,0.54,50.7,52.1,8.9,9.2,0.513,17.9,31.9,0.207,66,64
85,Florida NCAA,36,20,16,0.556,15.42,11.22,9,9,9,6,5,6,2440,2289,64.7,103.7,0.299,0.433,0.53,49.2,51,10.9,11,0.498,15.4,30.6,0.216,97.3,0.336,0.381,0.515,50.8,48.3,9.4,9.1,0.481,19.2,32.1,0.233,40,32
90,Florida State NCAA,37,29,8,0.784,17.99,10.26,13,5,15,1,6,4,2771,2485,69.5,106.3,0.358,0.377,0.545,53.2,49.5,10.2,12.7,0.505,16.2,32.3,0.267,95.3,0.357,0.388,0.514,46.8,43.8,7.8,8.4,0.472,18,26.3,0.257,14,16
94,Gardner-Webb NCAA,35,23,12,0.657,-2.61,-4.43,11,6,13,0,8,9,2718,2468,68.5,110.9,0.378,0.366,0.587,49.2,52.6,9.7,8.8,0.558,15,24.5,0.269,100.7,0.276,0.453,0.519,50.8,54,8.4,8.2,0.488,16.5,30,0.198,63,64
100,Georgia State NCAA,34,24,10,0.706,2.44,0.65,13,5,13,1,7,7,2598,2491,71.3,107.1,0.353,0.436,0.565,45.4,46,11.1,14,0.543,14.5,23.1,0.235,102.7,0.308,0.451,0.53,54.6,58.7,7,9.7,0.499,17.9,33.8,0.216,57,64
102,Gonzaga NCAA,37,33,4,0.892,27.79,5.01,16,0,17,0,9,1,3243,2400,71.7,122.2,0.353,0.353,0.62,54.7,56.8,10.5,13.9,0.59,13.1,30.4,0.269,90.4,0.259,0.349,0.474,45.3,41.4,7.6,5.8,0.442,16.5,26,0.18,4,8
113,Houston NCAA,37,33,4,0.892,18.91,4.61,16,2,19,1,10,1,2787,2258,67.3,111.8,0.316,0.426,0.55,54.9,55.8,9.6,13.4,0.521,13.9,33.8,0.222,90.6,0.373,0.411,0.471,45.1,49.9,7.8,6.4,0.425,15.9,25.5,0.259,9,16
124,Iona NCAA,33,17,16,0.515,-4.78,-5.5,12,6,8,3,5,9,2532,2508,71.4,107.4,0.368,0.445,0.568,48,50.4,9.5,7.7,0.53,15.4,24.3,0.275,106.4,0.285,0.424,0.547,52,55.4,7.6,11.2,0.523,16,29.8,0.195,64,64
125,Iowa NCAA,35,23,12,0.657,14.27,9.84,10,10,14,4,4,6,2740,2585,70.2,110.4,0.423,0.39,0.569,50.6,59.3,8.5,9,0.527,15.1,29.5,0.313,104.1,0.288,0.412,0.54,49.4,57.8,9.3,7.9,0.515,16,29,0.199,37,32
126,Iowa State NCAA,35,23,12,0.657,18.07,9.3,9,9,12,4,5,6,2692,2385,68.2,112.7,0.3,0.396,0.575,50.3,54.1,10.3,12.5,0.548,13.9,28.4,0.22,99.9,0.236,0.392,0.511,49.7,49.9,7.7,7.4,0.484,15.9,30.1,0.169,24,64
132,Kansas NCAA,36,26,10,0.722,18.35,12.79,12,6,16,0,3,8,2725,2525,70.3,106.5,0.325,0.349,0.555,52.1,48.3,9.5,10.9,0.526,16.1,29.9,0.229,98.7,0.278,0.418,0.507,47.9,52.7,9.3,8.9,0.478,15.4,27.8,0.191,13,32
134,Kansas State NCAA,34,25,9,0.735,15.39,9.18,14,4,13,2,7,5,2236,2025,64.9,101.3,0.306,0.384,0.52,50.9,57.6,11.6,7.7,0.493,15.2,28.4,0.204,91.7,0.307,0.429,0.511,49.1,54.5,9.6,8.2,0.482,20.3,25.6,0.207,15,64
137,Kentucky NCAA,37,30,7,0.811,21.43,10.29,15,3,17,1,8,2,2806,2394,67.3,111.9,0.419,0.296,0.571,56.9,51.2,8.8,13.4,0.53,15.9,36.4,0.31,95.5,0.268,0.386,0.498,43.1,47.9,8.6,7.8,0.466,15.7,25.2,0.189,7,8
142,Liberty NCAA,36,29,7,0.806,5.27,-3.88,14,2,16,1,11,3,2654,2209,65.4,112.8,0.265,0.442,0.596,51.5,55.2,9.5,8.1,0.569,15.1,25.1,0.205,93.9,0.31,0.376,0.508,48.5,45.9,8.2,8.8,0.478,18.2,24.9,0.21,50,32
149,Louisiana State NCAA,35,28,7,0.8,16.5,9.16,16,2,15,2,9,1,2815,2558,70.6,111.1,0.371,0.342,0.553,53,45.7,12.2,11.8,0.512,15.1,36.2,0.279,100.9,0.331,0.4,0.53,47,45,8.9,7.9,0.499,17.4,30.2,0.229,11,16
152,Louisville NCAA,34,20,14,0.588,17.28,11.04,10,8,14,4,5,6,2536,2324,68.4,107.4,0.349,0.437,0.553,52.4,53.6,6.3,7.9,0.509,15.2,29,0.271,98.4,0.32,0.372,0.503,47.6,47.9,8.3,10.6,0.468,14.1,25.7,0.223,25,64
159,Marquette NCAA,34,24,10,0.706,14.78,6.96,12,6,16,3,6,4,2629,2363,70.7,108.2,0.351,0.417,0.572,53,51.1,6.9,11.2,0.535,16.9,29.1,0.266,97.3,0.359,0.356,0.5,47,51,9.7,8.9,0.463,14.5,26.2,0.244,17,64
161,Maryland NCAA,34,23,11,0.676,16.01,10.09,13,7,15,3,6,5,2429,2228,66.6,107.3,0.328,0.37,0.55,56,52.1,6.5,13.4,0.514,16.5,34,0.244,98.4,0.266,0.394,0.493,44,51.9,10.4,9.8,0.459,12.3,24.7,0.193,22,32
171,Michigan NCAA,37,30,7,0.811,21.82,10.55,15,5,17,1,7,4,2575,2158,65.4,106.5,0.275,0.399,0.542,50.7,54.4,9.3,10.3,0.516,12.3,23.9,0.193,89.2,0.241,0.301,0.467,49.3,45.8,6.1,9.6,0.441,15.8,24.1,0.16,8,16
172,Michigan State NCAA,39,32,7,0.821,24.93,12.34,16,4,15,1,8,4,3025,2534,68.1,113.1,0.336,0.378,0.585,56.1,66.8,7.5,13.7,0.552,16,33.2,0.253,94.8,0.275,0.372,0.471,43.9,51.9,9.1,8.4,0.439,12.9,25.7,0.187,6,4
175,Minnesota NCAA,36,22,14,0.611,12.52,11.27,9,11,14,3,2,9,2543,2498,67.9,103.7,0.416,0.296,0.521,51.2,59,7.1,10.1,0.482,14.6,30.9,0.283,101.8,0.282,0.339,0.523,48.8,50.8,8.5,10.9,0.495,14.7,27.9,0.195,39,32
176,Mississippi NCAA,33,20,13,0.606,12.32,8.13,10,8,11,5,6,5,2485,2347,69.2,108.4,0.309,0.399,0.568,51.1,54.2,10.2,9.6,0.531,16,30.1,0.242,102.4,0.335,0.345,0.542,48.9,55.2,8.9,9.8,0.51,17.9,29.2,0.236,20,64
