Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
57,Colorado NCAA,37,26,11,.703,15.95,8.36,,13,7,,16,1,,4,7,,2935,2654,,69.0,113.8,.351,.306,.593,55.0,57.2,8.6,5.5,.554,15.9,31.9,.275
58,Colorado State NCAA,36,25,11,.694,13.40,7.28,,10,8,,15,2,,4,7,,2707,2422,,66.7,111.9,.317,.386,.581,50.5,66.1,9.3,8.4,.549,13.9,25.0,.239
59,Columbia,27,13,14,.481,-5.43,-3.72,,4,10,,9,6,,4,8,,2078,1956,,70.0,110.0,.299,.386,.570,51.7,62.9,11.1,6.7,.541,15.3,29.5,.219
60,Connecticut NCAA,40,37,3,.925,26.70,8.70,,18,2,,16,0,,9,3,,3256,2536,,66.0,123.3,.319,.402,.597,56.3,63.6,9.3,14.2,.569,12.3,36.7,.237
61,Coppin State,29,2,27,.069,-21.46,-6.49,,1,13,,2,8,,0,17,,1678,2112,,67.4,85.1,.311,.344,.465,43.5,41.0,11.3,8.0,.421,20.1,27.0,.226
62,Cornell,30,22,8,.733,3.58,-1.59,,11,3,,10,1,,10,6,,2463,2241,,71.9,114.2,.273,.486,.594,49.9,60.8,11.6,7.4,.572,15.0,28.4,.198
63,Creighton NCAA,35,25,10,.714,20.07,9.53,,14,6,,14,2,,8,5,,2815,2446,,67.6,116.2,.247,.485,.600,53.1,57.9,5.5,8.5,.573,13.7,26.1,.194
64,Dartmouth,27,6,21,.222,-13.99,-1.31,,2,12,,6,7,,0,14,,1670,1940,,66.3,93.3,.292,.433,.507,48.9,55.9,6.7,10.4,.477,17.3,21.8,.201
65,Davidson,32,15,17,.469,3.63,3.30,,5,13,,9,7,,4,8,,2242,2174,,65.9,104.7,.331,.412,.533,49.6,51.5,9.7,10.7,.496,13.9,26.5,.243
66,Dayton NCAA,33,25,8,.758,13.45,5.73,,14,4,,15,0,,6,5,,2448,2193,,64.8,114.1,.367,.443,.595,50.6,58.1,8.5,11.1,.563,14.3,26.3,.272
67,Delaware,33,19,14,.576,-1.68,-4.30,,10,8,,8,5,,8,6,,2416,2299,,67.7,107.8,.300,.354,.551,50.9,51.0,7.9,7.9,.524,14.0,27.6,.212
68,Delaware State,34,15,19,.441,-10.51,-7.58,,6,8,,7,5,,4,11,,2401,2415,,70.2,98.7,.391,.252,.516,51.6,48.5,11.7,5.7,.474,17.8,33.6,.276
69,Denver,34,17,17,.500,-7.39,-4.82,,6,10,,10,4,,4,11,,2755,2737,,71.1,111.9,.370,.402,.557,49.2,46.9,8.6,9.5,.520,12.1,27.8,.271
70,DePaul,32,3,29,.094,-6.23,10.80,,0,20,,3,15,,0,11,,2071,2616,,68.4,94.7,.335,.348,.521,44.9,54.1,7.7,8.6,.481,18.0,22.0,.246
71,Detroit Mercy,32,1,31,.031,-16.90,-2.62,,1,19,,1,11,,0,20,,2111,2568,,68.0,96.2,.303,.369,.511,44.6,45.5,10.1,6.6,.473,17.1,26.1,.223
72,Drake NCAA,35,28,7,.800,11.08,1.84,,16,4,,16,0,,6,5,,2797,2463,,68.4,113.9,.328,.394,.582,51.2,56.4,9.2,4.6,.549,12.3,24.2,.247
73,Drexel,32,20,12,.625,1.14,-3.64,,13,5,,13,1,,6,10,,2346,2130,,65.7,110.4,.300,.333,.544,55.6,47.2,7.6,10.5,.514,13.8,33.9,.216
74,Duke NCAA,36,27,9,.750,20.67,8.36,,15,5,,15,3,,7,4,,2830,2387,,67.1,117.1,.343,.375,.576,53.7,54.9,9.7,9.8,.546,12.4,32.1,.248
75,Duquesne NCAA,37,25,12,.676,7.35,4.68,,10,8,,13,4,,5,6,,2611,2467,,66.9,105.5,.323,.389,.536,50.4,54.0,11.2,12.6,.503,15.1,30.5,.232
76,East Carolina,33,15,18,.455,-0.62,1.32,,7,11,,11,9,,3,7,,2287,2319,,65.8,104.5,.352,.366,.515,50.3,50.6,11.9,8.8,.479,13.9,32.9,.243
77,East Tennessee State,35,19,16,.543,-3.11,-2.74,,8,10,,10,4,,5,11,,2502,2435,,68.8,103.5,.343,.411,.505,51.8,46.1,11.1,13.4,.470,14.9,35.1,.234
78,East Texas A&M,33,13,20,.394,-14.52,-5.19,,6,12,,8,7,,4,12,,2361,2462,,68.7,100.8,.297,.462,.518,45.6,55.1,11.2,12.4,.487,14.5,25.6,.208
