Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
142,Lipscomb NCAA,33,23,10,0.697,-2.1,-3.8,10,4,13,2,10,7,2708,2564,77,105,0.405,0.399,0.557,52.2,56,8.4,8,0.518,16.9,28.3,0.291,99.4,0.375,0.365,0.544,47.8,49.4,9,11.7,0.511,17.8,23.9,0.259,64
145,Long Island University NCAA,35,18,17,0.514,-8.6,-8.19,10,8,12,4,5,11,2696,2674,72.9,105.3,0.382,0.397,0.555,51,47.3,7.6,7.6,0.523,17,29.7,0.266,104.5,0.318,0.336,0.526,49,47.1,9.1,7.3,0.495,14.3,29.5,0.22,68
152,Loyola (IL) NCAA,38,32,6,0.842,10.37,1.8,15,3,14,1,9,4,2721,2377,65.9,108.6,0.319,0.357,0.602,51.3,59.7,9.6,6.8,0.577,17.3,22.4,0.231,94.9,0.247,0.371,0.502,48.7,50.1,10.1,9.4,0.474,17,25.4,0.174,4
159,Marshall NCAA,36,25,11,0.694,4.21,0.44,12,6,15,2,6,8,3017,2849,76.3,108.7,0.335,0.453,0.583,46.7,59,9.1,12.7,0.548,15.5,22.5,0.256,102.7,0.285,0.311,0.523,53.3,50.9,8.6,7.8,0.497,15.9,31.5,0.194,32
161,Maryland-Baltimore County NCAA,36,25,11,0.694,-2.02,-3.84,12,4,15,2,9,7,2630,2466,69.2,105.6,0.307,0.45,0.55,49.1,59.1,10.8,7.3,0.531,15.5,26.8,0.198,99,0.307,0.407,0.535,50.9,51.9,9.6,8.4,0.509,18.7,27.4,0.208,32
168,Miami (FL) NCAA,32,22,10,0.688,12.83,6.96,11,7,11,3,8,4,2361,2173,67.8,107.9,0.291,0.36,0.551,50.6,48.5,9.6,11,0.531,14.6,29.1,0.192,99.4,0.281,0.356,0.521,49.4,53.3,8.3,9,0.49,16.5,28.3,0.2,64
170,Michigan NCAA,41,33,8,0.805,19.03,9.41,13,5,15,1,6,5,3019,2596,65.7,111,0.307,0.433,0.564,50.3,53.6,9.6,8.1,0.545,12.4,25.4,0.203,95.4,0.298,0.304,0.511,49.7,43.5,6.3,9.7,0.476,17.3,25,0.215,2
171,Michigan State NCAA,35,30,5,0.857,22.41,7.1,16,2,16,1,8,1,2807,2271,68.1,117.3,0.359,0.363,0.601,57.6,67.6,6,18.5,0.569,16.4,37,0.268,94.9,0.307,0.355,0.47,42.4,54.1,8.7,6.9,0.427,12.6,26.3,0.223,32
178,Missouri NCAA,33,20,13,0.606,13.81,9.19,10,8,13,3,5,6,2399,2246,67.3,107.2,0.39,0.453,0.573,53.2,55.8,7.6,11.3,0.537,18.3,31.2,0.286,100.3,0.301,0.362,0.504,46.8,47.3,9.7,12.1,0.467,14.1,27.8,0.218,64
181,Montana NCAA,34,26,8,0.765,6.29,-2.24,16,2,14,0,8,6,2625,2329,69.9,108.8,0.386,0.272,0.549,53.3,45.3,10.9,9.2,0.513,15,33.3,0.273,96.5,0.419,0.32,0.532,46.7,43.8,7,8.8,0.487,19.3,25.6,0.302,64
